eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1826;6;22;9;45;;4.8;-73.9;;5.09;Mw;sara
;CERES995;SARA;1826;7;7;0;0;;4.8;-73.9;;5.09;Mw;sara
;CERES995;SARA;1826;;;;;;-11.71;-47.77;;2.87;Mw;sara
;CERES995;SARA;1827;6;24;0;0;0;8.15;-71.959;0;5.53;Mw;sara
;GOMAL015;SARA;1827;11;16;23;;;1.79;-75.52;;7.52;Mw;sara
;CERES995;SARA;1827;11;17;4;10;;1.8;-76.4;;5.09;Mw;sara
;CERES995;SARA;1827;11;17;16;45;;1.8;-76.4;;5.09;Mw;sara
;CERES995;SARA;1828;3;16;0;0;0;-16.399;-71.599;;6.23;Mw;sara
;CERES995;SARA;1828;3;30;12;35;0;-12.13;-77.808;50;6.52;Mw;sara
;CERES995;SARA;1829;9;26;14;30;;-33.05;-71.63;;7.01;Mw;sara
;CERES995;SARA;1829;10;1;16;3;0;-33.399;-71.599;;6.8;Mw;sara
;CERES995;SARA;1829;12;9;9;30;;5;-75.5;;5.42;Mw;sara
;CERES995;SARA;1831;5;17;21;5;;2.5;-76.5;;5.09;Mw;sara
;CERES995;SARA;1831;10;9;1;30;0;-18.5;-70.349;;7.37;Mw;sara
;CERES995;SARA;1831;10;9;2;15;;-18.468;-71.016;60;6.52;Mw;sara
;CERES985;SARA;1831;12;3;23;40;;12.4;-61.45;;5.53;Mw;sara
;CERES995;SARA;1831;12;24;16;45;0;-36.829;-73.03;;6.8;Mw;sara
;CERES995;SARA;1832;1;21;15;0;0;-43;-73;;6.8;Mw;sara
;CERES995;SARA;1832;9;18;17;0;0;-12.4;-64.4;;3.6;Mw;sara
;BSB012;SARA;1832;  ;;   ;  ;     ;-20.82;-45.72;0;3.48;Mw;sara
;CERES995;SARA;1833;4;25;14;30;0;-28.46;-71.25;;7.37;Mw;sara
;CERES995;SARA;1833;9;18;10;45;;-18.251;-71.01;60;7.45;Mw;sara
;CERES995;SARA;1833;9;18;13;0;0;-18.5;-70.349;;7.37;Mw;sara
;GOMAL015;SARA;1834;1;20;12;;;0.91;-77.045;;6.74;Mw;sara
;CERES995;SARA;1834;3;1;13;2;;1.4;-77.099;;5.42;Mw;sara
;GOMAL015;SARA;1834;5;22;8;;;11.488;-74.072;;6.43;Mw;sara
;CERES995;SARA;1834;5;24;0;0;;12;-75;;5.42;Mw;sara
;CERES995;SARA;1834;6;8;9;30;;7.4;-74.9;;5.09;Mw;sara
;CERES995;SARA;1834;8;12;16;0;0;8.8;-70.9;0;6.22;Mw;sara
;CERES995;SARA;1834;;;;;;-11.71;-47.77;;2.87;Mw;sara
;CERES995;SARA;1835;1;23;7;0;;1.8;-79;;5.42;Mw;sara
